title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"About Damn Time",Lizzo,"About Damn Time",USAT22202139,spotify,1PckUlxKqWQs3RlWXVBLw3,192s,"2022-09-30 04:00",,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",UYB282201028,spotify,2tTmW7RDtMQtBk7m2rYeSw,199s,"2022-09-30 04:00",,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw
"Hold Me Closer","Elton John, Britney Spears","Hold Me Closer",GBUM72205030,spotify,72yP0DUlWPyH8P7IoxskwN,202s,"2022-09-30 04:00",,https://open.spotify.com/track/72yP0DUlWPyH8P7IoxskwN
"Late Night Talking","Harry Styles","Harry's House",USSM12200610,spotify,1qEmFfgcLObUfQm0j1W2CK,178s,"2022-09-30 04:00",,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
"CUFF IT",Beyoncé,RENAISSANCE,USSM12206232,spotify,1xzi1Jcr7mEi9K2RfzLOqS,225s,"2022-09-30 04:00",,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)",USRC12201441,spotify,0hquQWY3xvYqN4qtiquniF,183s,"2022-09-30 04:00",,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF
"La Bachata","Manuel Turizo","La Bachata",QZDYA1800087,spotify,5ww2BF9slyYgNOk37BlC4u,163s,"2022-09-30 04:00",,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u
SNAP,"Rosa Linn",SNAP,USSM12207342,spotify,76OGwb5RA9h4FxQPT33ekc,180s,"2022-09-30 04:00",,https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc
Sunroof,"Nicky Youre, dazy",Sunroof,USQX92202129,spotify,4h4QlmocP3IuwYEj2j14p8,163s,"2022-09-30 04:00",,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)",USAT22205563,spotify,0mBP9X2gPCuapvpZ7TGDk3,154s,"2022-09-30 04:00",,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3
DESPECHÁ,ROSALÍA,DESPECHÁ,USSM12207207,spotify,5ildQOEKmJuWGl2vRkFdYc,157s,"2022-09-30 04:00",,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc
